sort		id	pop	HI	IH
171	Lloron_de_Atarfe	Lloron_de_Atarfe	CUL	0.822352367	0.282088824
45	Bical	Bical	CUL	0.820457018	0.280739935
9	Acebuchera	Acebuchera	CUL	0.831479691	0.279980658
203	Mollar_de_Cieza	Mollar_de_Cieza	CUL	0.822830829	0.27872031
183	Manzanilla_Cacerena	Manzanilla_Cacerena	CUL	0.823322511	0.276515152
196	Meslala1	Meslala1	CUL	0.830817916	0.276046738
673	Sevillano_de_Jumilla	Sevillano_de_Jumilla	CUL	0.819668131	0.27476818
685	Tempranillo_de_Yeste-2741	Tempranillo_de_Yeste-2741	CUL	0.834944418	0.27017883
613	Ocal	Ocal	CUL	0.835024155	0.266183575
174	Lucques	Lucques	CUL	0.825258574	0.261295591
663	Royal_de_Cazorla	Royal_de_Cazorla	CUL	0.829164449	0.258648217
701	Verdial_transmontana1	Verdial_transmontana1	CUL	0.840751731	0.257171118
221	Negrita1	Negrita1	CUL	0.843316832	0.249009901
689	Tounsi-4611	Tounsi-4611	CUL	0.830379124	0.239783358
110	Escarabajuelo_de_Ubeda	Escarabajuelo_de_Ubeda	CUL	0.857038835	0.22961165
138	Jabaluna	Jabaluna	CUL	0.855339806	0.226213592
89	Cornezuelo_de_Jaen12	Cornezuelo_de_Jaen12	CUL	0.858308605	0.225024728
188	Maraki1	Maraki1	CUL	0.8352657	0.205797101
195	Meloky1	Meloky1	CUL	0.863879436	0.18765192
669	Sant_Agostino	Sant_Agostino	CUL	0.904589372	0.153140097
26	Amargoso	Amargoso	CUL	0.898188938	0.150758688
53	Bouchouk_Lafayette1	Bouchouk_Lafayette1	CUL	0.905293832	0.142787761
698	Verdale	Verdale	CUL	0.905837563	0.142639594
704	Wateken1	Wateken1	CUL	0.881355932	0.141404358
75	Chalkidikis	Chalkidikis	CUL	0.910869565	0.14057971
688	Tonda_Iblea1	Tonda_Iblea1	CUL	0.904958678	0.140495868
684	Teffah1	Teffah1	CUL	0.904055391	0.140454995
657	Ronde_de_Miliana1	Ronde_de_Miliana1	CUL	0.908123791	0.140232108
632	POR_P43_17_13_S14_L004	POR_P43_17_13_S14_L004	CUL	0.904281496	0.139271654
108	Ensasi	Ensasi	CUL	0.913565132	0.138589618
128	Hamed1	Hamed1	CUL	0.891069676	0.138370952
65	Carolea	Carolea	CUL	0.90938755	0.138052209
11	Aggezi	Aggezi	CUL	0.890261628	0.137112403
120	Giarraffa1	Giarraffa1	CUL	0.906373518	0.136857708
55	Brandofino1	Brandofino1	CUL	0.910117878	0.13654224
15	Agrarez1	Agrarez1	CUL	0.911448141	0.136007828
16	Aguenaou1	Aguenaou1	CUL	0.907569141	0.135371179
8	Abunara1	Abunara1	CUL	0.907729469	0.1352657
118	Gerboui	Gerboui	CUL	0.910636231	0.135016999
222	Nerba1	Nerba1	CUL	0.910058027	0.1344294
181	Maiatica_di_Ferrandina1	Maiatica_di_Ferrandina1	CUL	0.906696209	0.134416544
85	Confetto1	Confetto1	CUL	0.907470703	0.134277344
182	Mancanilha_Algarvia1	Mancanilha_Algarvia1	CUL	0.909137056	0.134010152
131	Heraktane1	Heraktane1	CUL	0.910852713	0.13372093
14	Aglandau1	Aglandau1	CUL	0.91347207	0.133625411
227	Nocellara_del_Belice1	Nocellara_del_Belice1	CUL	0.907654321	0.133333333
121	Gordal	Gordal	CUL	0.907978463	0.133137543
176	Lumiaro1	Lumiaro1	CUL	0.909289883	0.132782101
2	Abbadi	Abbadi	CUL	0.910321921	0.132345427
6	Abou_Anaked1	Abou_Anaked1	CUL	0.91429995	0.131539611
691	Uovo_di_Piccione	Uovo_di_Piccione	CUL	0.907729469	0.131400966
126	Grossane-1941	Grossane-1941	CUL	0.908403869	0.131197098
226	Nocellara_Etnea1	Nocellara_Etnea1	CUL	0.910783366	0.131044487
194	Mawi	Mawi	CUL	0.907208962	0.131027764
209	Moresca1	Moresca1	CUL	0.911579457	0.130329457
133	Humaisi1	Humaisi1	CUL	0.919893514	0.130203291
141	Kaissy1	Kaissy1	CUL	0.918695229	0.129503408
4	Abbadi_Helo1	Abbadi_Helo1	CUL	0.911019015	0.129205266
202	Mohazam_Abou	Mohazam_Abou	CUL	0.912228797	0.129191321
31	Azeradj1	Azeradj1	CUL	0.90911306	0.1291423
12	Aggezi_Akse1	Aggezi_Akse1	CUL	0.892665037	0.126650367
149	Kerdi1	Kerdi1	CUL	0.91370154	0.125862985
201	Minekiri1	Minekiri1	CUL	0.918918919	0.125798526
48	Bolvino	Bolvino	CUL	0.909618173	0.125664572
686	Toffahi-4861	Toffahi-4861	CUL	0.895732299	0.125121242
130	Hemblasi-6011	Hemblasi-6011	CUL	0.906993686	0.124817873
42	Besbessi1	Besbessi1	CUL	0.916948334	0.124577499
21	Akerma1	Akerma1	CUL	0.910411622	0.123970944
151	Khalkhali-6291	Khalkhali-6291	CUL	0.912366115	0.123661149
627	POR_P39_33_16_S92_L004	POR_P39_33_16_S92_L004	CUL	0.916383907	0.123606398
54	Bouteillan	Bouteillan	CUL	0.913020833	0.122916667
37	Beladi	Beladi	CUL	0.920300388	0.122577519
656	Remmani1	Remmani1	CUL	0.911208151	0.122270742
180	Mahati-6151	Mahati-6151	CUL	0.910828025	0.122080679
629	POR_P43_02_05_S73_L004	POR_P43_02_05_S73_L004	CUL	0.915377176	0.121856867
